url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/b/315-w-35th-st-austin-tx-5XwTKd/,"$3,500/mo","315 W 35Th St Austin, Tx, 5XWTKD",4,2.0,"1,500",30.300042,-97.7373495
https://www.zillow.com/homedetails/711-Harris-Ave-Austin-TX-78705/29397492_zpid/,"$3,500/mo","711 Harris Ave, Austin, TX 78705",4,2.0,"1,284",30.294588,-97.7289318
https://www.zillow.com/apartments/austin-tx/30th-st-townhomes/63bV4g/,"$2,850/mo","30Th St Townhomes, Austin, TX 78705",3,2.0,"1,382",30.2943,-97.737506
https://www.zillow.com/homedetails/2708-San-Pedro-St-APT-202-Austin-TX-78705/119620813_zpid/,"$3,490/mo","2708 San Pedro St Apt 202, Austin, TX 78705",3,2.0,"1,670",30.293064,-97.7460565
https://www.zillow.com/homedetails/914-Keith-Ln-Austin-TX-78705/29396072_zpid/,"$3,400/mo","914 Keith Ln, Austin, TX 78705",3,2.0,"1,559",30.291456,-97.7249447
https://www.zillow.com/b/waterford-303-austin-tx-5XjfKr/,"$2,000/mo","Waterford 303 Austin, Tx, 5XJFKR",2,2.0,912,30.3767431,-97.7288615
https://www.zillow.com/b/610-w.-35th-st.-austin-tx-5XjfLP/,"$3,400/mo","610 W. 35Th St. Austin, Tx, 5XJFLP",3,2.0,"1,200",30.301773,-97.7400078
https://www.zillow.com/homedetails/609-W-35th-St-A-Austin-TX-78705/2098401176_zpid/,"$3,400/mo","609 W 35Th St A, Austin, TX 78705",3,2.0,"1,600",30.30109,-97.739211
https://www.zillow.com/apartments/austin-tx/lonestar-lofts/ChshVr/,"$1,100/mo","Lonestar Lofts, Austin, TX 78705",1,1.0,450,30.389196,-97.96377
https://www.zillow.com/homedetails/309-E-34th-St-Austin-TX-78705/29398164_zpid/,"$3,400/mo","309 E 34Th St, Austin, TX 78705",5,2.0,"2,000",30.2968871,-97.7327367
https://www.zillow.com/b/1023-w-24th-st-austin-tx-5XjF2Z/,"$2,595/mo","1023 W 24Th St, Austin, TX 78705",3,2.0,"1,200",30.2880028,-97.7491411
https://www.zillow.com/b/605-elmwood-pl-austin-tx-5Zmpr6/,"$1,345/mo","605 Elmwood Pl, Austin, TX 78705",2,1.0,700,30.2903245,-97.7333597
https://www.zillow.com/homedetails/3307-Hampton-Rd-Austin-TX-78705/29397591_zpid/,"$3,385/mo","3307 Hampton Rd, Austin, TX 78705",4,2.0,"1,584",30.2929045,-97.7266839
https://www.zillow.com/homedetails/603-Bellevue-Pl-A-Austin-TX-78705/2085435697_zpid/,"$3,300/mo","603 Bellevue Pl A, Austin, TX 78705",3,2.0,"1,230",30.291367,-97.7333
https://www.zillow.com/b/2809-rio-grande-st-austin-tx-5jCZgd/,"$3,000/mo","2809 Rio Grande St Austin, Tx, 5JCZGD",3,2.0,"1,000",30.294113,-97.743623
https://www.zillow.com/homedetails/2410-Leon-St-APT-203-Austin-TX-78705/2093897722_zpid/,"$3,250/mo","2410 Leon St Apt 203, Austin, TX 78705",4,3.0,"1,000",30.289393,-97.749398
"https://www.zillow.com/b/2307-longview-st-austin-tx/30.287252,-97.750336_ll/","$2,400/mo","2307 Longview St, Austin, TX 78705",3,2.0,"1,300",30.2872638,-97.7503834
https://www.zillow.com/homedetails/2510-San-Gabriel-St-403-Austin-TX-78705/448795138_zpid/,"$3,200/mo","2510 San Gabriel St 403, Austin, TX 78705",3,3.0,"1,200",30.289987,-97.747566
